Resolution,Algorithm,Min Value,Median Value,Max Value
10Kb,Armatus,0.209249242,0.332601359,0.871395419
10Kb,CASPIAN,0.209249242,0.332601359,0.808762594
10Kb,ClusterTAD,0.21936974,0.364434951,0.884811298
10Kb,EmbedTAD,0.212687836,0.346795524,0.901670292
10Kb,HiCseg,0.211912646,0.350331643,0.903070469
10Kb,IC-Finder,0.209249242,0.333081717,0.921706837
10Kb,Spectral,0.209249242,0.33294102,0.912070318
10Kb,TopDom,0.214213946,0.341911821,0.905137017
5Kb,Armatus,0.151000832,0.255728218,0.834535524
5Kb,CASPIAN,0.151000832,0.255728218,0.771877997
5Kb,ClusterTAD,0.162056695,0.292165927,0.8470564
5Kb,EmbedTAD,0.154833769,0.297124373,0.839781438
5Kb,HiCseg,0.157460693,0.272361615,0.856186092
5Kb,IC-Finder,0.151000832,0.259556448,0.877092065
5Kb,Spectral,0.151429847,0.257724694,0.869608787
5Kb,TopDom,0.151066528,0.262970474,0.869768903
