Resolution,Algorithm,Min Value,Median Value,Max Value
10Kb,Armatus,0.50640992,0.65832827,0.889124901
10Kb,CASPIAN,0.50640992,0.624220501,0.81313851
10Kb,ClusterTAD,0.528718861,0.65239033,0.881486463
10Kb,EmbedTAD,0.521433707,0.682206161,0.91703091
10Kb,HiCseg,0.529254479,0.661473712,0.939236422
10Kb,IC-Finder,0.509610615,0.628097544,0.933319007
10Kb,Spectral,0.514237536,0.624637625,0.908538749
10Kb,TopDom,0.510652003,0.628262087,0.917878283
5Kb,Armatus,0.536099904,0.612424083,0.853734666
5Kb,CASPIAN,0.52395371,0.585476995,0.787756676
5Kb,ClusterTAD,0.528032289,0.604500838,0.836848029
5Kb,EmbedTAD,0.553492637,0.629333745,0.860776615
5Kb,HiCseg,0.555682735,0.636350236,0.903257809
5Kb,IC-Finder,0.550988986,0.639008203,0.850291782
5Kb,Spectral,0.529059873,0.58623391,0.886122777
5Kb,TopDom,0.52506533,0.601114095,0.887531621
