Metric,Algorithm,Value
Memory,EmbedTAD,8652
Memory,EmbedTAD,6674
Memory,EmbedTAD,2882
Memory,EmbedTAD,3474
Memory,ClusterTAD,34681
Memory,ClusterTAD,34603
Memory,ClusterTAD,23680
Memory,ClusterTAD,31605
Memory,IC-Finder,16194
Memory,IC-Finder,20199
Memory,IC-Finder,4732
Memory,IC-Finder,8746
Memory,CASPIAN,8603
Memory,CASPIAN,6599
Memory,CASPIAN,7740
Memory,CASPIAN,6598
Memory,TopDom,5381
Memory,TopDom,10714
Memory,TopDom,3491
Memory,TopDom,5440
Memory,Armatus,6190
Memory,Armatus,9343
Memory,Armatus,4035
Memory,Armatus,5933
Memory,HiCseg,16766
Memory,HiCseg,52022
Memory,HiCseg,6369
Memory,HiCseg,16242
Memory,Spectral,5115
Memory,Spectral,9678
Memory,Spectral,3571
Memory,Spectral,7291
Time,EmbedTAD,298
Time,EmbedTAD,529
Time,EmbedTAD,117
Time,EmbedTAD,266
Time,ClusterTAD,5864
Time,ClusterTAD,12989
Time,ClusterTAD,804
Time,ClusterTAD,1514
Time,IC-Finder,3719
Time,IC-Finder,1886
Time,IC-Finder,246
Time,IC-Finder,618
Time,CASPIAN,5521
Time,CASPIAN,19327
Time,CASPIAN,678
Time,CASPIAN,2407
Time,TopDom,45
Time,TopDom,99
Time,TopDom,12
Time,TopDom,24
Time,Armatus,118
Time,Armatus,295
Time,Armatus,24
Time,Armatus,57
Time,HiCseg,2918
Time,HiCseg,7395
Time,HiCseg,280
Time,HiCseg,904
Time,Spectral,30
Time,Spectral,59
Time,Spectral,11
Time,Spectral,20
